time,temperature_2m,precipitation,wind_speed_10m,weathercode
2023-07-01T00:00,20.8,0.0,10.2,0
2023-07-01T01:00,20.7,0.0,7.8,1
2023-07-01T02:00,21.7,0.0,13.8,3
2023-07-01T03:00,21.4,0.0,12.5,3
2023-07-01T04:00,21.2,0.0,10.6,3
2023-07-01T05:00,20.8,0.0,8.4,3
2023-07-01T06:00,20.9,0.0,6.6,1
2023-07-01T07:00,21.8,0.0,7.7,3
2023-07-01T08:00,22.0,3.3,8.4,63
2023-07-01T09:00,21.7,2.1,8.3,61
2023-07-01T10:00,22.0,3.7,2.9,63
2023-07-01T11:00,22.6,2.1,6.1,61
2023-07-01T12:00,23.4,0.3,4.3,51
2023-07-01T13:00,24.9,0.0,1.5,2
2023-07-01T14:00,26.2,0.0,2.1,3
2023-07-01T15:00,25.3,0.0,10.3,3
2023-07-01T16:00,22.4,4.7,15.0,63
2023-07-01T17:00,21.1,2.1,4.0,61
2023-07-01T18:00,22.0,0.1,2.2,51
2023-07-01T19:00,22.2,0.0,4.1,3
2023-07-01T20:00,22.9,3.2,3.6,63
2023-07-01T21:00,21.8,1.8,8.1,61
2023-07-01T22:00,21.6,0.0,4.8,3
2023-07-01T23:00,21.6,0.0,7.3,3
2023-07-02T00:00,21.0,0.0,3.6,3
2023-07-02T01:00,21.0,0.1,9.8,51
2023-07-02T02:00,20.9,0.0,6.1,3
2023-07-02T03:00,20.4,0.0,5.6,2
2023-07-02T04:00,20.4,0.0,6.0,2
2023-07-02T05:00,19.9,1.2,6.3,55
2023-07-02T06:00,19.4,3.6,9.4,63
2023-07-02T07:00,20.7,0.3,4.0,51
2023-07-02T08:00,19.4,23.9,20.0,65
2023-07-02T09:00,18.6,24.4,17.0,65
2023-07-02T10:00,17.8,33.6,26.6,65
2023-07-02T11:00,17.5,28.7,42.0,65
2023-07-02T12:00,17.3,7.1,37.2,63
2023-07-02T13:00,17.4,4.5,32.3,63
2023-07-02T14:00,17.6,3.8,28.7,63
2023-07-02T15:00,17.7,2.2,27.0,61
2023-07-02T16:00,17.2,1.6,24.9,61
2023-07-02T17:00,16.5,0.6,22.6,53
2023-07-02T18:00,16.7,0.4,24.5,51
2023-07-02T19:00,17.3,0.2,20.2,51
2023-07-02T20:00,17.2,1.5,20.0,61
2023-07-02T21:00,17.0,0.1,18.1,51
2023-07-02T22:00,16.8,0.0,18.1,3
2023-07-02T23:00,16.7,0.0,17.6,3
2023-07-03T00:00,16.7,0.0,16.6,3
2023-07-03T01:00,16.7,0.0,14.8,2
2023-07-03T02:00,16.6,0.0,13.4,0
2023-07-03T03:00,16.5,0.0,11.6,0
2023-07-03T04:00,16.2,0.0,11.8,1
2023-07-03T05:00,16.1,0.0,11.5,0
2023-07-03T06:00,16.6,0.0,12.2,0
2023-07-03T07:00,18.8,0.0,11.6,0
2023-07-03T08:00,20.3,0.0,14.0,0
2023-07-03T09:00,21.1,0.0,14.8,1
2023-07-03T10:00,21.3,0.0,13.6,3
2023-07-03T11:00,21.8,0.0,11.4,3
2023-07-03T12:00,22.9,0.0,12.1,3
2023-07-03T13:00,23.3,0.0,13.4,3
2023-07-03T14:00,22.9,0.0,13.6,3
2023-07-03T15:00,22.5,0.0,12.6,2
2023-07-03T16:00,22.8,0.0,13.1,0
2023-07-03T17:00,22.9,0.0,11.4,0
2023-07-03T18:00,23.0,0.0,9.6,0
2023-07-03T19:00,22.3,0.0,9.5,0
2023-07-03T20:00,21.3,0.0,8.2,0
2023-07-03T21:00,20.3,0.0,7.4,0
2023-07-03T22:00,20.1,0.0,4.3,0
2023-07-03T23:00,19.3,0.0,6.3,0
